TID|Genre|Style|StyleDesciption|Style_address
70000016|Blues|Boogie Woogie|Originally a piano based blues/jazz instrumental style. It was first recorded during the 1920s so should not be applied to any earlier recordings. There is some debate about which was the earlest boogie recording, but certainly Pine Top Smith was an early exponent of this style. His 1928 recording "Pinetop's Boogie Boogie"; is generally regarded as the first use of the term. There was a boogie woogie "craze"; during the late 1930s which saw the style become widely popular and many classic recordings were made at this time (notable performers include Albert Ammons, Pete Johnson and Meade "Lux"; Lewis).During the 1930s boogie woogie also started to influence other styles of music including big band and country, and many big band and country boogie instrumentals were recorded. During the 1940s the influence of boogie woogie extended further into rhythm & blues and gospel.|/style/boogie+woogie
70000017|Blues|Chicago Blues||/style/chicago+blues
70000018|Blues|Country Blues|Also known as folk blues, rural blues, backwoods blues, or downhome blues, Country Blues is not a mix of Country music and Blues but designed a kind of acoustic blues rooted in rural places.|/style/country+blues
70000019|Blues|Delta Blues||/style/delta+blues
70000020|Blues|East Coast Blues||/style/east+coast+blues
70000021|Blues|Electric Blues||/style/electric+blues
70000022|Blues|Harmonica Blues||/style/harmonica+blues
70000023|Blues|Hill Country Blues||/style/hill+country+blues
70000024|Blues|Jump Blues||/style/jump+blues
70000025|Blues|Louisiana Blues|Louisiana blues is a genre of blues music that developed in the period after World War II in the state of Louisiana. It is generally divided into two major subgenres, with the jazz-influenced New Orleans blues based on the musical traditions of that city and the slower tempo swamp blues incorporating influences from zydeco and Cajun music from around Baton Rouge.[1] Major artists in the New Orleans tradition include Professor Longhair and Guitar Slim and for swamp blues Slim Harpo and Lightnin' Slim. Both genres peaked in popularity in the 1960s and were covered by a number of rock artists. Interest declined in the later 1960s but there have been occasional revivals since the 1970s.|/style/louisiana+blues
70000026|Blues|Memphis Blues||/style/memphis+blues
70000027|Blues|Modern Electric Blues||/style/modern+electric+blues
70000028|Blues|Piano Blues||/style/piano+blues
70000029|Blues|Piedmont Blues|A predominantly East Coast guitar blues, syncopated in a fashion similar to ragtime and stride piano styles.|/style/piedmont+blues
70000030|Blues|Texas Blues||/style/texas+blues
70000031|Brass & Military|Brass Band||/style/brass+band
70000032|Brass & Military|Marches||/style/marches
70000033|Brass & Military|Military||/style/military
70000034|Brass & Military|Pipe & Drum||/style/pipe+&+drum
70000035|Children's|Educational|A recording meant to be didactic or instructional. When used in this genre, it must use children as the intended audience of the instruction.|/style/educational
70000036|Children's|Nursery Rhymes|Traditional poems and rhymes for children.|/style/nursery+rhymes
70000037|Children's|Story|A narrated story. It could be a fable, a fairy tale, or any other story with children as the intended audience.|/style/story
70000038|Classical|Baroque|Baroque Music is a style of European Classical Music between 1600 to 1750. The baroque era followed the Renaissance period (approx. &#8230; In instrumental music the period saw the emergence of the sonata, the suite, and particularly the concerto grosso, as in the music of Corelli, Vivaldi, Handel, and Bach.|/style/baroque
70000039|Classical|Choral||/style/choral
70000040|Classical|Classical||/style/classical
70000041|Classical|Contemporary|Classical/academic music composed from 1975 onwards. Traditional instruments are sometimes used alongside computers and other electro-acustic devices. Trends include Minimalism, Spectralism, Neo-Romanticism, Atonal etc|/style/contemporary
70000042|Classical|Early||/style/early
70000043|Classical|Impressionist|period: ImpressionistThe term "Impressionist"; was first coined in the mid-1870s, as a critically derisive term, of the light- and color-focused paintings of a small band of Paris-based artists, the so-called "Salon des Refusés"; (Salon of the Refused) &#8211; among them Manet, Renoir, Degas, and especially Monet, whose "Impression, soleil levant"; inspired the name. The application of the term to music, from the 1880s, was a rather predictable extension, though most composers to whom it was applied renounced its application &#8211; most famously Claude Debussy, who claimed that those critics who apply it to music are "imbeciles";, and that instead he is simply trying to do "something different.";Their protestations notwithstanding, however, there are indeed aesthetic and technical corollaries between visual and musical "impressionism"; that can be identified empirically. Most prominent is the notion of "color";. In music, the more conventional term is "timbre";, which is defined largely through orchestration, but likewise through harmonic usage, texture, etc. Creative exploration of musical timbre via orchestration certainly predates the Impressionist period, but it was especially this generation that opened up timbre as a first-tier parameter, to be exploited and pursued in its own right. In orchestral works such as Debussy's La Mer or Maurice Ravel's Daphnis et Chloé, unusual usage or combinations of instruments, particularly at soft dynamic levels, are a common feature and give the works a distinctly "coloristic"; sound, that would open up new possibilities to later composers. Even in works for solo piano &#8211; such as Debussy's Preludes &#8211; new timbres are explored via extremes of register, as well as by unique and "colorful"; approaches to harmony and melody. Indeed, it is in the realm of harmony that the Impressionist "sound"; is most readily identified: via such techniques as parallel triads, whole-tone scales, blurring of tonal identity, extended or chromatic chords (9ths, 11ths, 13ths), etc. Another corollary between music and painting can be discerned in their mutual fascination with certain "impressionist"; themes or topics &#8211; such as water, reflection, reverie, etc. More generally, though, artists in both fields were motivated by a desire to break down old conventions in order to explore new methods and techniques; in music this meant turning away from the Romantic-Germanic emphasis on traditional large-scale forms, thematic unity, and development, in favor of smaller, individual forms and work-specific techniques.Beyond the giants of the Impressionist period, Debussy and Ravel, other figures associated with the movement include the French composers Erik Satie and Paul Dukas, the Spaniard Manuel de Falla, and the American Charles Griffes, as well as &#8211; to some degree at least &#8211; Karol Szymanowski, Ralph Vaughan Williams, Frederick Delius, and Ottavino Resphigi. Among composers hailed as precursors or inspirations to later Impressionist developments include especially Modest Mussorgsky, Alexander Scriabin, and Gabriel Fauré, as well as Emmanuel Chabrier and César Franck. Further, Impressionist techniques and sonorities had resurgence among Jazz composers and performers such as Bix Biederbecke, Bill Evans, Gil Evans, and Duke Ellington. Above all, the Impressionist musical language, techniques, and aesthetic had a direct and profound influence on the revolutionary Modern period that followed.Nolan Gasser, PhDArtistic Director &#8211; Classical Archive (dot) com |/style/impressionist
70000044|Classical|Medieval||/style/medieval
70000045|Classical|Modern||/style/modern
